directors,popularity,stars,title,writers
Elem Klimov,,"
        ,
,, ,, ,            ,
, »
    ","Come and See ,            ","
        ,
, (story) (as A. Adamovich), , (screenplay) (as A. Adamovich)            ,
, »
    "
Billy Wilder,"
                    1,531
      (","
        ,
,, ,, ,            ,
, »
    ","Some Like It Hot ,            ","
        ,
, (screenplay), , (screenplay)            ,
, »
    "
Peter Farrelly,"
                    124
      (","
        ,
,, ,, ,            ,
, »
    ","Green Book ,            ","
        ,
,, , (as Brian Currie)            ,
, »
    "
,,,"Downfall ,            ",
Majid Majidi,,"
        ,
,, ,, ,            ,
, »
    ","Children of Heaven ,            ","
        ,
,    "
Clint Eastwood,"
                    864
      (","
        ,
,, ,, ,            ,
, »
    ","Unforgiven ,            ","
        ,
,    "
,,,"Yojimbo ,            ",
Christopher Nolan,"
                    268
      (","
        ,
,, ,, ,            ,
, »
    ","Batman Begins ,            ","
        ,
, (characters), , (story)            ,
, »
    "
,,,"Rashomon ,            ",
John McTiernan,"
                    609
      (","
        ,
,, ,, ,            ,
, »
    ","Die Hard ,            ","
        ,
, (novel), , (screenplay)            ,
, »
    "
Michael Mann,"
                    433
      (","
        ,
,, ,, ,            ,
, »
    ","Heat ,            ","
        ,
,    "
"Terry Gilliam,Terry Jones","
                    1,270
      (","
        ,
,, ,, ,            ,
, »
    ","Monty Python and the Holy Grail ,            ","
        ,
,, ,            ,
, »
    "
Curtis Hanson,"
                    1,279
      (","
        ,
,, ,, ,            ,
, »
    ","L.A. Confidential ,            ","
        ,
, (novel), , (screenplay)            ,
, »
    "
Denis Villeneuve,"
                    1,277
      (","
        ,
,, ,, ,            ,
, »
    ","Incendies ,            ","
        ,
, (scenario), , (play)            ,
, »
    "
Billy Wilder,"
                    2,571
      (","
        ,
,, ,, ,            ,
, »
    ","The Apartment ,            ","
        ,
,, ,    "
Steven Spielberg,"
                    496
      (","
        ,
,, ,, ,            ,
, »
    ","Indiana Jones and the Last Crusade ,            ","
        ,
, (screenplay), , (story)            ,
, »
    "
"Pete Docter,Bob Peterson","
                    494
      (","
        ,
,, ,, ,            ,
, »
    ","Up ,            ","
        ,
, (story by), , (story by)            ,
, »
    "
Billy Wilder,"
                    3,915
      (","
        ,
,, ,, ,            ,
, »
    ","Double Indemnity ,            ","
        ,
, (screenplay), , (screenplay)            ,
, »
    "
Asghar Farhadi,"
                    2,356
      (","
        ,
,, ,, ,            ,
, »
    ","A Separation ,            ","
        ,
,    "
Robert Mulligan,"
                    1,326
      (","
        ,
,, ,, ,            ,
, »
    ","To Kill a Mockingbird ,            ","
        ,
, (based on her novel ""To Kill a Mockingbird""), , (screenplay)    "
,,,"Ikiru ,            ",
George Roy Hill,"
                    2,606
      (","
        ,
,, ,, ,            ,
, »
    ","The Sting ,            ","
        ,
,    "
Sergio Leone,"
                    2,619
      (","
        ,
,, ,, ,            ,
, »
    ","For a Few Dollars More ,            ","
        ,
, (scenario), , (scenario)            ,
, »
    "
Lee Unkrich,"
                    780
      (","
        ,
,, ,, ,            ,
, »
    ","Toy Story 3 ,            ","
        ,
, (story by), , (story by)            ,
, »
    "
